페이지명,URL,사용자 권한,주요 기능,세부 기능,비고
간호사 근무 희망사항 제출,/,일반간호사+수간호사,희망사항 작성 및 제출,텍스트 입력을 통한 AI 분석,자연어 처리로 근무 희망사항 분석
,,,,캘린더 형태 직접 입력,달력에서 날짜별 근무 코드 선택
,,,,전체 희망사항 현황 조회,월별 전체 간호사 희망사항 확인
,,,,월별 북마크 관리,wanted 작성 상태별 북마크 표시
,,,,최종 제출 및 수정,제출 후 철회 및 재수정 가능
,,,,OFF 희망사항 시각화,주황색 빗금으로 OFF 희망사항 표시
근무표 설정,/roster-configure,수간호사,근무표 생성 환경설정,Shift 설정,일별 필수 D/E/N 수 설정
,,,,기능 관리,연속 근무일 수 제한 설정
,,,,우선순위 지수 조정,근무 요구사항 우선순위 설정
,,,,야간 근무 제약 설정,N 3회 허용 및 후속 OFF 설정
,,,,복지 기능 관리,현재 비활성화 상태
근무표 생성,/roster-create,수간호사,근무표 생성 및 관리,간호사 제출 현황 확인,카드 형태로 제출 상태 표시
,,,,근무표 생성 알고리즘 선택,CP-SAT/유전 알고리즘 등 선택
,,,,근무표 편집,생성된 근무표 수동 편집 가능
,,,,위반사항 체크,제약조건 위반 자동 검사
,,,,위반사항 시각화,위반된 셀에 빨간색 테두리 표시
,,,,버전 관리,여러 버전 저장 및 관리
,,,,근무표 발행,최종 확정 및 발행 기능
근무표 보기,/roster-view,일반간호사+수간호사,발행된 근무표 조회,월별 근무표 선택,북마크를 통한 월별 선택
,,,,근무표 테이블 표시,간호사별 일정 표시
,,,,위반사항 확인,발행된 근무표의 위반사항 표시
,,,,현재 사용자 하이라이트,로그인한 사용자 행 강조
부서원 관리,/head-nurse-management,수간호사,부서원 정보 관리,간호사 추가/삭제/수정,부서원 정보 CRUD 기능
,,,,수간호사 지정 관리,수간호사 권한 부여/해제
,,,,엑셀 업로드,대량 데이터 업로드 (준비상태)
,,,,프리셉터 지정,신규 간호사 프리셉터 지정
,,,,히스토리 관리,변경사항 되돌리기/다시하기
,,,,데이터 검증,필수 입력사항 및 수간호사 최소 1명 검증
공통 기능,전체 페이지,모든 사용자,사이드바 네비게이션,페이지 간 이동,권한에 따른 메뉴 표시
,,,,사용자 인증,로그인/로그아웃 기능,세션 관리
,,,,권한 관리,일반간호사/수간호사 권한 구분,페이지 접근 제어
,,,,반응형 사이드바,사이드바 토글 기능,화면 크기 조정 가능 
